PooledFundId,AllocationYear,ReportApprovedDate,AllocationtypeId,AllocationSourceId,OrganizationType,NumbofProjects,TotalNumbPartners,Budget,TargetedMen,TargetedWomen,TargetedBoys,TargetedGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls,DisabledMen,DisabledWomen,DisabledBoys,DisabledGirls,ReachedDisabledMen,ReachedDisabledWomen,ReachedDisabledBoys,ReachedDisabledGirls
1,2019,2019-11-05,3423,1,2,2,1.0,1991802.96,9679.0,10942.0,17636.0,15078.0,6243.0,7573.0,10139.0,9070.0,,,,,,,,
1,2019,2019-11-06,3423,1,3,1,1.0,1310500.01,6317.0,9206.0,13860.0,12617.0,8049.0,6337.0,9573.0,10448.0,,,,,,,,
1,2019,2020-01-23,3423,1,1,1,1.0,1200000.0,11558.0,1879.0,7834.0,3729.0,19608.0,3188.0,13290.0,6326.0,,,,,,,,
1,2019,2020-01-24,3523,1,1,1,1.0,2000000.0,2882.0,318.0,,,1730.0,190.0,,,,,,,,,,
1,2019,2020-08-03,3723,1,1,1,1.0,161848.85,908.0,908.0,2118.0,2118.0,710.0,761.0,995.0,988.0,49.0,49.0,114.0,114.0,64.0,68.0,90.0,89.0
1,2019,2020-08-09,3623,2,1,1,1.0,100000.0,3075.0,479.0,306.0,140.0,3991.0,705.0,254.0,54.0,36.0,3.0,1.0,,71.0,10.0,1.0,
1,2019,2020-09-13,3723,1,1,1,1.0,229999.98,2365.0,2462.0,483.0,724.0,1821.0,1909.0,561.0,585.0,,,,,4.0,,,
1,2019,2020-11-25,3623,2,2,1,1.0,783207.29,7596.0,7596.0,10342.0,10342.0,8432.0,8976.0,12942.0,12902.0,,,,,,,,
1,2019,2020-12-06,3623,2,1,1,1.0,520825.71,1391.0,1430.0,682.0,725.0,884.0,969.0,1401.0,1400.0,29.0,14.0,25.0,16.0,49.0,9.0,6.0,7.0
1,2019,2020-12-07,3723,1,1,1,1.0,282041.0,19249.0,20035.0,22597.0,23519.0,12867.0,10019.0,18595.0,18182.0,192.0,200.0,226.0,235.0,216.0,225.0,254.0,264.0
1,2019,2020-12-13,3723,1,2,1,1.0,355999.19,2436.0,2268.0,1932.0,1764.0,1066.0,1603.0,2919.0,2794.0,121.0,111.0,92.0,82.0,146.0,132.0,112.0,97.0
1,2019,2020-12-13,3823,1,2,1,1.0,1350000.7,,,9066.0,11079.0,,,9068.0,11082.0,,,,,,,,
1,2019,2020-12-14,3823,1,1,1,1.0,395888.23,20000.0,25000.0,15000.0,17000.0,14722.0,18692.0,12272.0,12668.0,220.0,180.0,51.0,49.0,12.0,13.0,12.0,11.0
1,2019,2020-12-17,3623,2,1,1,1.0,619791.42,442.0,416.0,1920.0,2880.0,420.0,260.0,3517.0,1283.0,25.0,18.0,120.0,120.0,15.0,13.0,88.0,30.0
1,2019,2020-12-17,3723,1,1,2,2.0,702069.88,3571.0,3639.0,5101.0,5541.0,3493.0,3593.0,6067.0,6142.0,92.0,71.0,165.0,145.0,117.0,104.0,206.0,254.0
1,2019,2020-12-17,3723,1,1,1,1.0,2238785.68,,25600.0,11500.0,11000.0,,22940.0,10175.0,11945.0,,768.0,345.0,330.0,,,,
1,2019,2020-12-20,3723,1,3,1,1.0,660290.24,12200.0,13726.0,24399.0,25925.0,8841.0,10664.0,18217.0,18770.0,31.0,33.0,52.0,54.0,18.0,14.0,35.0,32.0
1,2019,2020-12-21,3723,1,1,1,1.0,1435000.01,5805.0,7327.0,12334.0,11634.0,4864.0,4930.0,9910.0,9318.0,639.0,806.0,1357.0,1280.0,436.0,545.0,912.0,877.0
1,2019,2020-12-22,3623,2,1,1,1.0,534400.8,4542.0,4314.0,6533.0,5329.0,6687.0,6943.0,7381.0,6761.0,298.0,58.0,39.0,26.0,401.0,37.0,37.0,22.0
1,2019,2020-12-23,3623,2,1,1,1.0,643391.0,5043.0,5067.0,7064.0,7186.0,5043.0,5067.0,7064.0,7186.0,30.0,10.0,5.0,5.0,30.0,10.0,5.0,5.0
1,2019,2020-12-23,3723,1,1,3,3.0,1886508.9,26579.0,27496.0,39346.0,40209.0,26662.0,28928.0,41417.0,44957.0,1121.0,1147.0,1648.0,1685.0,346.0,332.0,456.0,366.0
1,2019,2020-12-23,3723,1,1,1,1.0,1759664.76,,,11500.0,14055.0,,,11493.0,14062.0,,,,,,,,
1,2019,2020-12-24,3623,2,1,1,1.0,1240000.03,1941.0,1730.0,5143.0,5580.0,1503.0,502.0,5141.0,5347.0,10.0,15.0,15.0,15.0,1.0,,22.0,16.0
1,2019,2020-12-26,3623,2,1,1,1.0,992913.12,5020.0,1330.0,,,5040.0,1310.0,,,20.0,11.0,,,59.0,22.0,,
