PooledFundId,AllocationYear,ReportApprovedDate,AllocationtypeId,AllocationSourceId,ClusterId,ClusterBudget,TargetedMen,TargetedWomen,TargetedBoys,TargetedGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls
1,2018,2019-11-08,2923,2,6.0,686783.4868,3624.0,7355.0,6451.0,6188.0,1625.0,1807.0,2004.0,2016.0
1,2018,2019-11-08,2923,2,9.0,656923.3352,3467.0,7035.0,6170.0,5919.0,1554.0,1728.0,1917.0,1928.0
1,2018,2019-11-08,3023,1,7.0,1437525.61,112438.0,111482.0,90421.0,68013.0,122976.0,155185.0,79823.0,68702.0
1,2018,2019-11-08,3123,1,6.0,800000.18,15175.0,14575.0,14815.0,14935.0,15887.0,15264.0,15513.0,15637.0
1,2018,2019-11-12,3223,1,4.0,309013.62,4850.0,4848.0,2078.0,2077.0,4850.0,4848.0,2078.0,2077.0
1,2018,2019-11-14,2923,2,9.0,874414.73,,,4472.0,5249.0,,,5461.0,6411.0
1,2018,2019-11-17,2923,2,9.0,309424.1,53.0,24285.0,22480.0,26389.0,28.0,35098.0,60547.0,58717.0
1,2018,2019-11-17,3323,1,7.0,153783.5568,7844.0,8834.0,2409.0,2515.0,5226.0,11669.0,5606.0,5555.0
1,2018,2019-11-17,3323,1,9.0,180528.5232,9208.0,10370.0,2827.0,2952.0,6134.0,13699.0,6580.0,6521.0
1,2018,2019-11-29,2923,2,6.0,561249.24,1808.0,1808.0,2392.0,2392.0,1562.0,1763.0,3288.0,3336.0
1,2018,2019-11-30,3023,1,4.0,500000.3,3412.0,2594.0,3958.0,3686.0,2660.0,2022.0,3086.0,2874.0
1,2018,2019-12-01,3223,1,4.0,502153.78,6601.0,5017.0,7657.0,7129.0,5770.0,4386.0,6693.0,6231.0
1,2018,2019-12-04,2923,2,9.0,244030.66,,3600.0,6247.0,6333.0,,17941.0,7662.0,9202.0
1,2018,2019-12-10,2923,2,10.0,74199.37,1956.0,4125.0,1738.0,2385.0,1551.0,3742.0,1735.0,2335.0
1,2018,2019-12-17,2923,2,10.0,302430.15,2640.0,3520.0,3720.0,2920.0,4757.0,5614.0,5466.0,3606.0
1,2018,2019-12-24,3323,1,7.0,245742.5025,4125.0,12142.0,4700.0,5283.0,7114.0,7093.0,6801.0,6499.0
1,2018,2019-12-24,3323,1,9.0,81914.1675,1375.0,4047.0,1567.0,1761.0,2371.0,2364.0,2267.0,2166.0
1,2018,2020-01-22,3123,1,6.0,1500000.15,15570.0,15854.0,21776.0,23030.0,16969.0,17031.0,25733.0,25319.0
1,2018,2020-01-23,3223,1,4.0,315264.64,2171.0,2181.0,3040.0,3094.0,2171.0,2181.0,3040.0,3094.0
1,2018,2020-01-24,3223,1,4.0,422977.42,4847.0,5876.0,3713.0,4807.0,4847.0,5876.0,3713.0,4807.0
1,2018,2020-01-31,2923,2,9.0,380831.4,3447.0,3448.0,1186.0,1139.0,21300.0,24142.0,8642.0,8892.0
1,2018,2020-01-31,2923,2,10.0,235758.396,7769.0,8087.0,5293.0,5564.0,6986.0,11353.0,4657.0,4543.0
1,2018,2020-12-26,2923,2,10.0,501000.77,2575.0,2425.0,600.0,600.0,3190.0,3055.0,1119.0,944.0
1,2018,2020-12-27,3223,1,4.0,250000.0,22760.0,27020.0,37480.0,34340.0,17721.0,20056.0,22056.0,20185.0
1,2019,2019-11-05,3423,1,4.0,1991802.96,11922.0,12550.0,20707.0,17569.0,8481.0,9180.0,13213.0,11562.0
1,2019,2019-11-06,3423,1,4.0,1310500.01,6317.0,9206.0,13860.0,12617.0,8049.0,6337.0,9573.0,10448.0
1,2019,2020-01-23,3423,1,7.0,1200000.0,11558.0,1879.0,7834.0,3729.0,19608.0,3188.0,13290.0,6326.0
1,2019,2020-01-24,3523,1,12.0,2000000.0,2882.0,318.0,,,1730.0,190.0,,
1,2019,2020-08-03,3723,1,4.0,161848.85,908.0,908.0,2118.0,2118.0,710.0,761.0,995.0,988.0
1,2019,2020-08-09,3623,2,10.0,100000.0,3075.0,479.0,306.0,140.0,3991.0,705.0,254.0,54.0
1,2019,2020-09-13,3723,1,4.0,229999.98,2365.0,2462.0,483.0,724.0,1821.0,1909.0,561.0,585.0
1,2019,2020-11-25,3623,2,6.0,783207.29,7596.0,7596.0,10342.0,10342.0,8432.0,8976.0,12942.0,12902.0
1,2019,2020-12-06,3623,2,4.0,520825.72,1391.0,1430.0,682.0,725.0,884.0,969.0,1401.0,1400.0
1,2019,2020-12-07,3723,1,6.0,282041.0,19249.0,20035.0,22597.0,23519.0,12867.0,10019.0,18595.0,18182.0
1,2019,2020-12-13,3723,1,4.0,355999.2,2436.0,2268.0,1932.0,1764.0,1066.0,1603.0,2919.0,2794.0
1,2019,2020-12-13,3823,1,9.0,1350000.77,,,9066.0,11079.0,,,9068.0,11082.0
1,2019,2020-12-14,3823,1,10.0,395888.24,20000.0,25000.0,15000.0,17000.0,14722.0,18692.0,12272.0,12668.0
1,2019,2020-12-17,3623,2,3.0,619791.42,442.0,416.0,1920.0,2880.0,420.0,260.0,3517.0,1283.0
1,2019,2020-12-17,3723,1,4.0,702069.9299999999,3571.0,3639.0,5101.0,5541.0,3493.0,3593.0,6067.0,6142.0
1,2019,2020-12-17,3723,1,9.0,2238785.69,,25600.0,11500.0,11000.0,,22940.0,10175.0,11945.0
1,2019,2020-12-21,3723,1,4.0,1435000.0,5805.0,7327.0,12334.0,11634.0,4864.0,4930.0,9910.0,9318.0
1,2019,2020-12-22,3623,2,6.0,534400.8,4542.0,4314.0,6533.0,5329.0,6687.0,6943.0,7381.0,6761.0
1,2019,2020-12-23,3623,2,6.0,643391.0,5043.0,5067.0,7064.0,7186.0,5043.0,5067.0,7064.0,7186.0
1,2019,2020-12-23,3723,1,4.0,791263.75,7591.0,7459.0,6655.0,6470.0,6621.0,7122.0,7042.0,7395.0
1,2019,2020-12-23,3723,1,9.0,1759664.93,,,11500.0,14055.0,,,11493.0,14062.0
1,2019,2020-12-24,3623,2,3.0,999440.02,1571.0,1421.0,4197.0,4553.0,1216.0,412.0,4195.0,4362.0
1,2019,2020-12-24,3623,2,10.0,240560.0,370.0,335.0,946.0,1027.0,286.0,97.0,945.0,984.0
1,2019,2020-12-26,3623,2,6.0,992913.13,5020.0,1330.0,,,5040.0,1310.0,,
1,2019,2020-12-27,3723,1,4.0,740000.03,3144.0,4385.0,6651.0,5805.0,2122.0,2729.0,4824.0,4053.0
1,2019,2020-12-27,3723,1,6.0,411651.87,35875.0,33005.0,35301.0,39317.0,31619.0,31854.0,47878.0,44159.0
1,2019,2020-12-28,3623,2,4.0,2339736.31,12076.0,13541.0,17796.0,16715.0,10951.0,10410.0,18351.0,18508.0
1,2019,2020-12-28,3723,1,4.0,2271062.66,13193.0,13447.0,14536.0,14306.0,19057.0,20751.0,10700.0,11133.0
1,2019,2020-12-28,3723,1,6.0,615129.09,56821.0,52917.0,45063.0,41149.0,47962.0,46360.0,71559.0,67712.0
1,2019,2020-12-28,3723,1,7.0,999711.24,17400.0,11600.0,5800.0,3900.0,17400.0,11600.0,5800.0,3900.0
1,2019,2020-12-30,3623,2,3.0,1041826.08,395.0,244.0,6876.0,5444.0,7933.0,1959.0,13388.0,9577.0
1,2019,2020-12-30,3823,1,9.0,1649994.54,,10720.0,15867.0,15245.0,,10195.0,14251.0,16070.0
1,2019,2020-12-31,3623,2,4.0,2309744.58,5858.0,6284.0,13159.0,13424.0,5345.0,5978.0,10603.0,10846.0
1,2019,2020-12-31,3623,2,9.0,2000070.0,,,13755.0,16811.0,,,17076.0,20869.0
1,2019,2020-12-31,3723,1,6.0,183049.48,10152.0,3348.0,,,13484.0,16.0,,
1,2019,2021-01-03,3623,2,3.0,442784.21,,,3086.0,3772.0,,,3085.0,3771.0
1,2019,2021-01-03,3623,2,10.0,27674.01,,,191.0,233.0,,,190.0,232.0
1,2019,2021-01-04,3723,1,4.0,1437800.26,2709.0,3291.0,4903.0,4540.0,4296.0,5735.0,7449.0,6502.0
1,2019,2021-01-06,3723,1,4.0,230014.53,1899.0,2009.0,1500.0,1592.0,1672.0,1780.0,1324.0,1406.0
1,2019,2021-01-17,3723,1,4.0,408000.0,2112.0,2208.0,2592.0,2688.0,1261.0,1718.0,2880.0,3109.0
1,2019,2021-01-24,3623,2,4.0,713092.53,3949.0,4829.0,6143.0,7022.0,5184.0,5610.0,7156.0,8182.0
1,2019,2021-01-25,3623,2,3.0,319017.93,28.0,284.0,1120.0,1680.0,64.0,248.0,1590.0,1209.0
1,2019,2021-01-25,3623,2,10.0,79754.48,7.0,71.0,280.0,420.0,16.0,62.0,397.0,302.0
1,2019,2021-01-31,3623,2,10.0,578660.72,2698.0,9905.0,18095.0,17649.0,2087.0,5851.0,13316.0,12796.0
1,2019,2021-02-01,3623,2,3.0,399122.83,40.0,60.0,1500.0,2000.0,32.0,68.0,1573.0,1927.0
1,2019,2021-02-07,3623,2,10.0,299928.6,1950.0,1850.0,2070.0,1890.0,2045.0,1860.0,2150.0,1837.0
1,2019,2021-02-10,3623,2,4.0,0.0,,,,,,,,
1,2019,2021-02-10,3623,2,6.0,442036.97,4161.0,8325.0,4759.0,6643.0,5455.0,10903.0,7399.0,9283.0
