Year,ApplicationCode,WindowID,EmergencyTypeID,EmergencyGroupID,AgencyID,Budget,FirstProjectApprovedDate,LastProjectApprovedDate,CountryID
2008,08-RR-LSO-6549,3,12,2,5,239438.0000,2008-03-19,2008-03-19,56
2008,08-RR-LBR-12975,3,8,3,5,1900000.0000,2008-07-09,2008-07-09,57
2008,08-UF-NER-8399,4,27,6,5;6;4;2;3,6499999.0000,2008-02-29,2008-02-29,71
2008,08-RR-NER-8410,3,27,6,2,700850.0000,2008-04-07,2008-04-07,71
2008,08-RR-NER-8413,3,12,2,3,1055020.0000,2008-06-18,2008-06-18,71
2008,08-RR-NER-8416,3,8,3,5;4;2,1998773.0000,2008-09-26,2008-09-26,71
2008,08-UF-CIV-4162,4,19,1,5;7;1;6;11;4;2,7002959.0000,2008-03-20,2008-05-16,24
2008,08-RR-CIV-4190,3,8,3,5;2,2012459.0000,2008-06-26,2008-06-26,24
2008,08-RR-CIV-4195,3,12,2,4,2065100.0000,2008-07-14,2008-07-14,24
2008,08-RR-CIV-4198,3,8,3,4;2,994514.0000,2008-10-24,2008-10-24,24
2008,08-UF-BFA-575,4,8,3,5;4;2,3399999.0000,2008-02-29,2008-02-29,13
2008,08-RR-BFA-582,3,8,3,5;4;2,2000293.0000,2008-09-12,2008-09-12,13
2008,08-UF-MLI-7122,4,12,2,4;2,3198972.0000,2008-02-29,2008-02-29,61
2008,08-RR-MRT-7343,3,8,3,5;4;3,1132595.0000,2008-07-08,2008-07-09,63
2008,08-RR-GIN-5702,3,8,3,4;2,3999178.0000,2008-07-14,2008-07-14,43
2008,09-RR-GIN-5709,3,27,6,2,1000000.0000,2009-01-09,2009-01-09,43
2008,08-RR-HTI-5817,3,8,3,5;2,5846936.0000,2008-05-23,2008-05-23,45
2008,08-RR-HTI-5820,3,5,3,5;7;6;4;2;3,5106424.0000,2008-09-29,2008-10-01,45
2008,08-RR-HTI-5831,3,5,3,7;4;2;3,4076743.0000,2008-11-28,2008-12-04,45
2008,08-RR-HTI-5837,3,5,3,2,1000001.0000,2008-12-23,2008-12-23,45
2008,08-RR-CUB-4452,3,6,3,5;1;6;4;2;3,2487431.0000,2008-09-12,2008-09-12,25
2008,08-RR-GNB-5770,3,12,2,4;3,601911.0000,2008-08-04,2008-08-04,44
2008,08-RR-GNB-5773,3,9,2,4;3,600056.0000,2008-11-19,2008-11-20,44
2008,08-RR-BGD-351,3,12,2,2,1000000.0000,2008-04-24,2008-04-24,7
2008,08-RR-IND-6026,3,6,3,6;4,3010825.0000,2008-09-17,2008-11-03,47
2008,08-UF-PRK-6581,4,27,6,5;6;4;3,1999884.0000,2008-09-17,2008-10-14,26
2008,08-RR-PRK-6591,3,12,2,4;3,1398170.0000,2008-09-26,2008-10-07,26
2008,08-RR-TJK-11707,3,7,3,1;4;2;3,5237558.0000,2008-02-21,2008-02-21,92
2008,08-RR-TJK-11719,3,13,3,5,410163.0000,2008-04-23,2008-04-23,92
2008,08-RR-TJK-11722,3,8,3,4;2;3,1999516.0000,2008-09-18,2008-10-13,92
2008,08-RR-KGZ-6866,3,7,3,5;11;4;2,1970556.0000,2008-12-11,2008-12-11,53
2008,08-RR-CHN-2704,3,1,3,1;6;11;4;2;3,8045731.0000,2008-05-22,2008-05-23,21
2008,08-RR-CUB-13342,3,6,3,5;1;14;6;4;2;3,4880085.0000,2008-09-26,2008-09-26,25
2008,08-RR-GTM-5584,3,6,3,5;6;4;2;3,1483541.0000,2008-11-12,2008-11-12,42
2008,09-RR-COL-2797,3,6,3,5;7;6;4;2,3135341.0000,2009-01-08,2009-01-08,22
2008,08-RR-HND-6013,3,6,3,5;7;4;2,1501344.0000,2008-10-31,2008-10-31,46
2008,08-RR-BOL-436,3,6,3,5;7;6;4;2;3,2271874.0000,2008-02-12,2008-02-15,10
2008,08-RR-AFG-32,3,8,3,4;2;3,8002060.0000,2008-02-12,2008-02-12,1
2008,08-UF-AFG-39,4,19,1,5;7;11;3,4175162.0000,2008-03-13,2008-03-13,1
2008,08-UF-AFG-54,4,8,3,7;4;3,4598922.0000,2008-09-12,2008-09-12,1
2008,08-UF-NPL-8218,4,27,6,5;18;6;11;4;2;3,5997698.0000,2008-03-18,2008-03-20,69
2008,08-RR-NPL-8232,3,6,3,5;7;6;4;2;3,2603222.0000,2008-09-26,2008-10-02,69
2008,08-RR-AFG-26,3,19,1,2,1444500.0000,2008-01-30,2008-01-30,1
2008,08-UF-PAK-8747,4,6,3,5;7;18;11;4;2;3,6808525.0000,2008-02-29,2008-03-19,74
