Year,ApplicationCode,EmergencyGroupID,EmergencyTypeID,Budget,WindowID,FirstProjectApprovedDate,LastProjectApprovedDate,CountryID
2007,07-RR-SDN-10089,6,27,5278928.0,3,2007-12-10,2007-12-14,80
2007,07-RR-SDN-13738,6,27,295427.0,3,2007-08-14,2007-08-14,80
2007,07-RR-SDN-13738,3,5,864072.0,3,2007-08-14,2007-08-14,80
2007,07-RR-SDN-13743,6,27,4857158.0,3,2007-08-16,2007-08-16,80
2007,07-RR-SEN-10557,1,16,348285.0,3,2007-12-14,2007-12-14,83
2007,07-RR-SOM-10634,6,27,2591540.0,3,2007-02-22,2007-02-22,87
2007,07-RR-SOM-10636,1,16,2716548.0,3,2007-05-15,2007-05-17,87
2007,07-RR-SOM-10636,3,5,2939195.0,3,2007-05-15,2007-05-17,87
2007,07-RR-SOM-10643,2,12,246100.0,3,2007-10-17,2007-10-17,87
2007,07-RR-SOM-10643,6,27,3379227.0,3,2007-10-17,2007-10-17,87
2007,07-RR-SOM-13840,1,16,800360.0,3,2007-07-23,2007-07-23,87
2007,07-RR-SOM-13840,2,12,900405.0,3,2007-07-23,2007-07-23,87
2007,07-RR-SOM-13847,6,27,1091400.0,3,2007-07-05,2007-07-05,87
2007,07-RR-SWZ-11284,6,27,1542362.0,3,2007-06-29,2007-07-02,90
2007,07-RR-SWZ-11284,3,7,1594453.48,3,2007-06-29,2007-07-02,90
2007,07-RR-TCD-1791,1,16,7280842.0,3,2007-02-21,2007-03-20,19
2007,07-RR-TGO-11769,2,12,2366372.0,3,2007-07-03,2007-07-03,94
2007,07-RR-TGO-11775,3,6,1000000.0,3,2007-10-01,2007-10-01,94
2007,07-RR-TGO-11775,3,5,436560.0,3,2007-10-01,2007-10-01,94
2007,07-RR-TJK-11703,3,13,119814.0,3,2007-06-06,2007-06-06,92
2007,07-RR-TLS-11759,5,34,626378.0,3,2007-04-02,2007-04-02,93
2007,07-RR-TLS-11763,3,13,464615.0,3,2007-05-29,2007-05-29,93
2007,07-RR-TLS-11766,1,19,209571.0,3,2007-12-14,2007-12-14,93
2007,07-RR-TZA-11734,2,14,226026.0,3,2007-04-25,2007-04-25,99
2007,07-RR-TZA-11734,2,12,974035.0,3,2007-04-25,2007-04-25,99
2007,07-RR-UGA-11917,6,27,7000000.0,3,2007-04-11,2007-04-11,97
2007,07-RR-UGA-11920,2,12,758577.0,3,2007-10-04,2007-10-05,97
2007,07-RR-UGA-11920,6,27,441750.0,3,2007-10-04,2007-10-05,97
2007,07-RR-UGA-11920,3,6,1008795.0,3,2007-10-04,2007-10-05,97
2007,07-RR-UGA-11920,3,5,3791893.0,3,2007-10-04,2007-10-05,97
