ApprovedDate,PooledFundName,FundType,Budget
01-2015,88,2,3739607.7000000007
01-2015,88,2,1847329.69
01-2015,88,2,2123761.51
01-2015,88,2,1649005.09
01-2015,49,2,998842.86
01-2015,49,2,253927.73
01-2015,49,2,698656.5
01-2019,88,2,174845.38
01-2019,49,2,350000.0
01-2019,49,2,492093.43
01-2019,49,2,2733698.97
01-2019,88,2,681066.66
01-2019,88,2,185000.0
01-2019,88,2,326048.7
01-2020,91,2,345146.14
01-2020,91,2,250333.35
01-2020,91,2,681125.62
01-2020,91,2,438720.33
10-2013,87,2,298136.66
10-2014,74,2,369982.37
10-2016,80,2,271673.0
10-2017,49,2,744966.43
10-2018,105,2,350009.84
10-2018,105,2,846402.08
10-2018,105,2,764493.6
10-2018,105,2,369929.49
10-2018,36,2,3200010.48
10-2018,36,2,348342.35
10-2018,67,2,1199999.91
10-2019,80,2,300000.18
10-2019,80,2,498523.14
10-2019,80,2,500289.2
10-2019,80,2,300030.14
10-2019,80,2,2999999.66
10-2019,80,2,2406915.8
10-2019,98,2,204999.99
10-2019,98,2,208896.41
11-2011,87,2,350000.0
11-2014,105,2,214000.0
11-2016,88,2,156862.0
11-2016,88,2,150000.0
11-2016,88,2,530000.0
11-2016,88,2,84999.73
11-2016,87,2,190000.0
11-2016,49,2,299978.46
11-2016,49,2,471277.22
11-2018,105,2,750000.0
11-2018,105,2,1290316.53
11-2018,105,2,1000000.05
11-2018,105,2,848946.59
11-2018,105,2,498876.8
11-2018,105,2,999931.05
11-2018,105,2,700186.28
11-2019,49,2,1194973.93
11-2021,91,2,391716.3
12-2011,87,2,331511.0
12-2014,87,2,4801131.67
12-2016,49,2,495946.95
12-2016,49,2,454000.0
12-2016,49,2,490904.96
12-2016,18,2,100000.0
12-2016,27,2,4550000.0
12-2016,49,2,150000.0
12-2017,1,2,4376621.51
12-2017,88,2,199999.05
12-2017,88,2,659441.0
12-2017,49,2,439891.98
12-2017,51,2,399963.86
12-2018,108,2,352499.73
12-2018,108,2,183127.4
12-2018,108,2,382087.18
12-2018,108,2,526934.34
12-2018,88,2,209999.27
12-2018,36,2,199999.97
12-2018,36,2,241216.41
12-2018,36,2,3999998.79
12-2018,87,2,630003.45
12-2020,91,2,4131587.52
12-2020,91,2,499790.58
12-2020,72,2,350817.69
12-2020,91,2,2740455.97
12-2020,72,2,139652.12
12-2020,72,2,481000.0
12-2020,72,2,449250.0
12-2020,91,2,447797.44
12-2020,27,2,1343797.59
12-2021,1,2,935000.0
12-2021,36,2,250000.08
12-2021,18,2,399999.98
12-2021,36,2,430000.0
12-2021,36,2,350024.98
12-2021,36,2,200000.23
12-2021,36,2,200000.23
,74,2,199291.46
,67,2,149307.8
,18,2,560733.5
,87,2,119658.28
,87,2,500000.0
,36,2,629838.75
,36,2,400000.0
,36,2,1000000.0
,36,2,1000000.0
,74,2,500000.0
,74,2,345921.68
,74,2,247979.99
,74,2,199999.97
,27,2,766061.0
,27,2,1499995.18
,27,2,779925.0
,55,2,1493268.58
,27,2,999999.82
,27,2,1141000.13
,27,2,240000.0
,27,2,327000.0
,27,2,850000.0
,27,2,169924.07
,1,2,158399.43
,1,2,383873.13
,36,2,398151.24
,80,2,200000.0
,80,2,486935.58
,80,2,350000.0
,98,2,260008.98
,98,2,222890.5
,49,2,740833.24
,49,2,2000000.0
,27,2,1048043.54
,27,2,944940.88
,36,2,210000.0
,67,2,267190.04
,80,2,500000.0
,105,2,1162645.9
,105,2,1278405.9
,105,2,1988754.22
,36,2,350000.0
,36,2,802685.32
,105,2,714314.26
,98,2,273194.01
,91,2,1307221.57
,91,2,764999.71
,91,2,876927.06
,91,2,409767.2
,91,2,745144.65
,91,2,899997.59
,91,2,499259.6
,72,2,485750.14
,74,2,493916.38
,1,2,300337.53
,1,2,399084.32
,1,2,671387.6
,1,2,549999.47
,1,2,599999.96
,1,2,395033.3
,87,2,3758878.0
,87,2,376497.0
,55,2,246750.0
,49,2,566860.32
,88,2,556000.72
,88,2,1620000.01
,49,2,175544.2
,105,2,945754.87
,105,2,699529.88
,105,2,600045.3
,108,2,297983.23
,105,2,1093761.92
,108,2,299857.07
,105,2,1202131.0
,105,2,498794.09
,105,2,1525066.0
,27,2,1183401.0
,27,2,749472.46
,72,2,544988.45
,72,2,249952.0
,91,2,339618.24
,36,2,907398.38
,87,2,899999.99
