contributionYear,donorId,fundId,paidAmount,pledgedAmount
2015,129,108,1477428,0
2015,158,22,655737,0
2015,158,73,546448,0
2015,158,91,546448,0
2015,158,108,546448,0
2015,162,1,8073705,0
2015,162,18,2421115,0
2015,162,22,477042,0
2015,162,27,9912245,0
2015,162,36,706687,0
2015,162,45,596302,0
2015,162,49,943600,0
2015,162,51,1713153,0
2015,162,55,1142102,0
2015,162,67,589750,0
2015,162,73,1185208,0
2015,162,74,2020877,0
2015,162,80,6336249,0
2015,162,87,7055403,0
2015,162,88,12854446,0
2015,162,91,2372105,0
2015,162,105,6875815,0
2015,163,18,1003539,0
2015,163,22,613519,0
2015,163,36,3073942,0
2015,163,73,505050,0
2015,163,80,1047778,0
2015,163,87,1343028,0
2015,163,88,1770696,0
2015,163,91,3566237,0
2015,163,105,3159882,0
2015,163,108,711382,0
2015,183,1,18222600,0
2015,183,18,9132207,0
2015,183,27,21159621,0
2015,183,36,43381924,0
2015,183,49,29353019,0
2015,183,67,1626161,0
2015,183,74,3076923,0
2015,183,80,17299900,0
2015,183,87,7460500,0
2015,183,88,52844750,0
2015,183,105,27952634,0
2015,183,108,10132203,0
2016,13,1,5848785,0
2016,13,36,3160012,0
2016,13,49,1518213,0
2016,13,67,1101920,0
2016,13,87,1491997,0
2016,13,88,2237996,0
2016,22,18,4435023,0
2016,22,27,5543779,0
2016,22,49,3311258,0
2016,22,51,5918826,0
2016,22,55,6482524,0
2016,22,73,2818489,0
2016,22,88,2261200,0
2016,22,91,6482524,0
2016,22,108,5777903,0
2016,35,18,390228,0
2016,35,49,374930,0
2016,35,88,782350,0
2016,35,105,3810104,0
2016,49,49,10615,0
2016,52,1,4291119,0
2016,52,18,2869852,0
2016,52,36,1493988,0
2016,52,49,3553457,0
2016,52,67,1421326,0
2016,52,80,5264415,0
2016,52,87,6785322,0
2016,52,88,2896787,0
2016,52,91,2987977,0
2016,52,105,2842896,0
2016,52,108,3716153,0
2016,64,108,2234636,0
2016,67,1,9066875,0
2016,67,18,4278900,0
2016,67,36,2254791,0
2016,67,49,15984808,0
2016,67,55,1691093,0
2016,67,73,1698754,0
2016,67,80,1122900,0
2016,67,87,2245800,0
2016,67,88,2245800,0
2016,67,91,3865006,0
2016,67,105,14866830,0
2016,67,108,8649602,0
2016,80,91,300000,0
2016,86,18,3278970,0
2016,86,27,3278970,0
2016,86,36,1932059,0
2016,86,49,2733811,0
2016,86,51,1592356,0
2016,86,55,1061571,0
2016,86,73,212314,0
2016,86,80,3278970,0
2016,86,87,3278970,0
2016,86,88,3278970,0
2016,86,105,4377933,0
2016,86,108,2188966,0
2016,93,91,603658,0
2016,98,36,500000,0
2016,98,88,1000000,0
2016,98,91,500000,0
2016,98,105,300000,0
2016,109,18,279475,0
2016,109,27,285550,0
2016,109,88,678360,0
2016,109,91,284250,0
2016,111,91,50000,0
2016,124,1,6810000,0
2016,124,18,4451200,0
2016,124,27,6625200,0
2016,124,49,11476634,0
2016,124,51,1109877,0
2016,124,55,2219755,0
2016,124,80,6825000,0
2016,124,87,1115200,0
2016,124,88,6795600,0
2016,124,91,9100880,0
2016,124,105,11273957,0
2016,124,108,11098779,0
2016,129,1,3571965,0
2016,129,49,4338305,0
2016,129,73,706515,0
2016,129,80,2405002,0
2016,129,88,8131706,0
2016,129,91,5606254,0
2016,129,108,4678982,0
2016,141,108,5000000,0
2016,148,105,5000000,0
2016,158,22,560538,0
2016,158,73,560538,0
2016,158,91,1121076,0
2016,158,105,560538,0
2016,158,108,560538,0
2016,162,1,10471919,0
2016,162,18,4528145,0
2016,162,22,484384,0
2016,162,27,12187288,0
2016,162,36,968768,0
2016,162,49,3791365,0
2016,162,51,1210960,0
2016,162,55,1210960,0
2016,162,67,1210960,0
2016,162,73,2171779,0
2016,162,74,4480552,0
2016,162,80,9323777,0
2016,162,87,7506156,0
2016,162,88,7322432,0
2016,162,91,3577687,0
2016,162,105,8055809,0
2016,162,108,3925684,0
2016,163,1,399965,0
2016,163,18,616332,0
2016,163,22,306435,0
2016,163,36,1656253,0
2016,163,67,493096,0
2016,163,73,1910916,0
2016,163,80,496228,0
2016,163,87,1509813,0
2016,163,88,1024380,0
2016,163,91,1521298,0
2016,163,105,2999900,0
2016,163,108,1014198,0
2016,183,1,21632400,0
2016,183,18,5246200,0
2016,183,27,20214340,0
2016,183,36,40540878,0
2016,183,49,50071434,0
2016,183,51,2857142,0
2016,183,67,4133928,0
2016,183,74,2840909,0
2016,183,80,19633300,0
2016,183,87,6321500,0
2016,183,88,19528500,0
2016,183,91,8571428,0
2016,183,105,53137050,0
2016,183,108,17185916,0
2016,184,36,6700000,0
2016,184,49,5000000,0
2017,4,87,25000,0
2017,4,88,24965,0
2017,13,1,6103184,0
2017,13,67,2258696,0
2017,13,87,7355824,0
2017,13,88,7684561,0
2017,15,72,12500,0
2017,15,87,12500,0
2017,15,88,12500,0
2017,15,105,12500,0
2017,22,18,1796400,0
2017,22,27,3592800,0
2017,22,49,6739442,0
2017,22,51,1768867,0
2017,22,55,1768867,0
2017,22,72,2358490,0
2017,22,73,2830188,0
2017,22,88,4790400,0
2017,22,91,8549528,0
2017,22,105,4716981,0
2017,22,108,8549528,0
2017,35,18,377674,0
2017,35,49,369691,0
2017,35,67,374939,0
2017,35,72,775088,0
2017,35,87,857325,0
2017,35,88,934628,0
2017,35,105,4670968,0
2017,49,49,11848,0
2017,49,105,11200,0
2017,52,55,3207530,0
2017,52,72,4768187,0
2017,52,87,3171582,0
2017,52,88,4757373,0
2017,52,91,4811137,0
2017,52,105,9601027,0
2017,52,108,1603765,0
2017,64,55,592417,0
2017,64,108,5509397,0
2017,67,18,5772800,0
2017,67,27,8220700,0
2017,67,36,18851991,0
2017,67,49,46345496,0
2017,67,51,2369668,0
2017,67,55,3554502,0
2017,67,72,10168217,0
2017,67,73,2209384,0
2017,67,80,1082100,0
2017,67,87,12686285,0
2017,67,88,13147250,0
2017,67,91,2171552,0
2017,67,105,66868335,0
2017,67,108,11848341,0
2017,80,55,200000,0
2017,80,73,150000,0
2017,80,91,220000,0
2017,86,18,3588770,0
2017,86,27,3881464,0
2017,86,36,3678370,0
2017,86,49,2171552,0
2017,86,51,1600853,0
2017,86,55,1600853,0
2017,86,72,2275312,0
2017,86,73,355450,0
2017,86,80,3487086,0
2017,86,87,3194392,0
2017,86,88,3194392,0
2017,86,105,5824147,0
2017,86,108,1764705,0
2017,88,73,589622,0
2017,93,91,646830,0
2017,98,1,5899513,0
2017,98,36,500000,0
2017,98,72,1000000,0
2017,98,80,700000,0
2017,98,87,300000,0
2017,98,88,1000000,0
2017,98,105,1500000,0
2017,98,108,1000000,0
2017,108,105,21715,0
2017,109,18,266125,0
2017,109,27,266125,0
2017,109,67,265392,0
2017,109,72,284414,0
2017,109,88,266125,0
2017,109,91,265392,0
2017,114,72,21482,0
2017,114,73,35294,0
2017,114,105,117647,0
2017,124,18,2954500,0
2017,124,27,3519900,0
2017,124,49,6538102,0
2017,124,72,4807692,0
2017,124,87,5429600,0
