allocationYear,fundId,clusterId,ClusterCBPFCERFId,partnerTypeId,partnerCode,projectList,budget
2007,109,13,13,3,1,749,100000.0
2007,109,4,19,3,7,606,520808.0
2007,109,6,18,3,2,597,287955.0
2007,109,7,7,3,3,602,47080.0
2007,109,7,7,3,6,603,82371.0
2007,109,7,7,3,3,421,512551.4
2007,109,11,11,3,4,427,369150.0
2007,109,4,19,3,4,621,1300001.0
2007,109,6,17,3,5,902,559610.0
2007,109,6,18,3,5,623##624,695001.0
2007,109,7,7,3,3,626##629##905,1900662.0
2007,109,7,7,3,4,622##630,3256763.0
2007,109,7,7,3,6,620,214000.0
2007,109,10,10,3,11,894##898,4719318.0
2007,109,11,11,3,4,631##632,2054678.0
2007,109,12,20,3,2,519##625,3200000.0
2007,109,13,13,3,1,538,1575000.0
2007,109,6,17,3,5,862,156929.0
2007,109,6,18,3,2,863,93011.0
2007,109,13,13,3,11,864,166385.0
2007,109,13,13,3,11,903,348285.0
2007,109,4,19,3,11,528,1000000.0
2007,109,4,19,3,4,533,1716548.0
2007,109,6,18,3,2,865,2025308.0
2007,109,7,7,3,3,534##554,1700765.0
2007,109,7,7,3,4,867,246100.0
2007,109,11,11,3,4,866,1353919.0
2007,109,12,20,3,2,362##529,5530735.0
2007,109,13,13,3,1,537,1091400.0
2007,109,4,19,3,11,418##773,2072500.0
2007,109,6,17,3,1,769,237433.0
2007,109,6,17,3,5,503##768,965519.0
2007,109,6,18,3,2,419,3323735.0
2007,109,7,7,3,3,507,752210.0
2007,109,7,7,3,6,506,250000.0
2007,109,10,10,3,11,417##772,1887624.5
2007,109,11,11,3,4,429,1189108.0
2007,109,12,20,3,1,380,209955.0
2007,109,6,17,3,5,591,1542362.0
2007,109,6,18,3,2,592,1594453.48
2007,109,6,17,3,5,532,119814.0
2007,109,6,17,3,5,504##530,1090993.0
2007,109,12,20,3,2,900,209571.0
2007,109,6,17,3,5,829,210790.0
2007,109,6,18,3,2,601##830,2055622.0
2007,109,9,9,3,4,600,1310750.0
2007,109,11,11,3,4,831,225770.0
2007,109,3,3,3,4,840,441750.0
2007,109,4,19,3,4,842,252788.0
2007,109,6,17,3,5,833,491934.0
2007,109,6,18,3,2,509##835,8788851.0
2007,109,7,7,3,3,836,758577.0
2007,109,10,10,3,11,837,287945.0
2007,109,11,11,3,4,839,720850.0
2007,109,12,20,3,2,838,1258320.0
2007,109,6,17,3,5,521,702990.0
2007,109,7,7,3,3,522,271045.0
2007,109,7,7,3,4,520,226026.0
2007,109,6,17,3,5,586,2432110.0
2007,109,7,7,3,3,788,415973.0
2007,109,11,11,3,4,787,586493.0
2007,109,6,18,3,2,812,8000000.0
2007,109,4,19,3,7,381,306020.0
2007,109,6,18,3,2,385,2157432.0
2007,109,7,7,3,3,386,717970.0
2007,109,10,10,3,6,383,107000.0
2007,109,11,11,3,11,382##430,711406.0
2007,109,11,11,3,4,384,500000.0
2007,109,10,10,3,11,388,1000000.0
2007,109,6,17,3,5,705,300000.18
2007,109,6,18,3,2,703,349998.0
2007,109,9,9,3,4,704,227910.0
2007,109,6,17,3,5,389##390,2400000.0
2007,109,6,18,3,2,391,5800000.0
2007,109,13,13,3,4,392,300000.0
2007,109,3,3,3,4,441,200000.0
2007,109,4,19,3,1,444,150000.0
2007,109,4,19,3,4,442,107000.0
2007,109,6,18,3,1,443,150000.0
2007,109,6,18,3,2,433,649567.0
2007,109,7,7,3,1,446##449##693##694,499458.06
2007,109,7,7,3,3,434##689##697,515945.06
2007,109,7,7,3,4,438##439##690##691,588433.0
2007,109,7,7,3,6,436##437##688,582000.0
2007,109,9,9,3,4,440,252000.0
2007,109,10,10,3,11,431##695,705000.0
2007,109,10,10,3,4,687,203300.0
2007,109,10,10,3,6,435,195000.0
2007,109,11,11,3,1,445##447##448,449800.0
2007,109,11,11,3,4,692,431237.0
