FileName,WeekNumber,Year,weekNumber,LinktoDocument,Capturedon
OEW33-0915082021.pdf,33,2021,33,https://apps.who.int/iris/bitstream/handle/10665/344261/OEW33-0915082021.pdf,2/8/2023
OEW32-0208082021.pdf,32,2021,32,https://apps.who.int/iris/bitstream/handle/10665/343824/OEW32-0208082021.pdf,2/8/2023
OEW31-260701082021.pdf,31,2021,31,https://apps.who.int/iris/bitstream/handle/10665/343406/OEW31-260701082021.pdf,2/8/2023
OEW30-1925072021.pdf,30,2021,30,https://apps.who.int/iris/bitstream/handle/10665/343321/OEW30-1925072021.pdf,2/8/2023
OEW29-1218072021.pdf,29,2021,29,https://apps.who.int/iris/bitstream/handle/10665/343057/OEW29-1218072021.pdf,2/8/2023
OEW28-0511072021.pdf,28,2021,28,https://apps.who.int/iris/bitstream/handle/10665/342715/OEW28-0511072021.pdf,2/8/2023
OEW27-280604072021.pdf,27,2021,27,https://apps.who.int/iris/bitstream/handle/10665/342386/OEW27-280604072021.pdf,2/8/2023
OEW26-2127062021.pdf,26,2021,26,https://apps.who.int/iris/bitstream/handle/10665/342077/OEW26-2127062021.pdf,2/8/2023
OEW25-1420062021.pdf,25,2021,25,https://apps.who.int/iris/bitstream/handle/10665/341933/OEW25-1420062021.pdf,2/8/2023
OEW24-0713062021.pdf,24,2021,24,https://apps.who.int/iris/bitstream/handle/10665/341808/OEW24-0713062021.pdf,2/8/2023
OEW23-310506062021.pdf,23,2021,23,https://apps.who.int/iris/bitstream/handle/10665/341673/OEW23-310506062021.pdf,2/8/2023
OEW22-2430052021.pdf,22,2021,22,https://apps.who.int/iris/bitstream/handle/10665/341556/OEW22-2430052021.pdf,2/8/2023
OEW21-1723052021.pdf,21,2021,21,https://apps.who.int/iris/bitstream/handle/10665/341457/OEW21-1723052021.pdf,2/8/2023
OEW20-1016052021.pdf,20,2021,20,https://apps.who.int/iris/bitstream/handle/10665/341343/OEW20-1016052021.pdf,2/8/2023
OEW19-0309052021.pdf,19,2021,19,https://apps.who.int/iris/bitstream/handle/10665/341246/OEW19-0309052021.pdf,2/8/2023
OEW18-2602052021.pdf,18,2021,18,https://apps.who.int/iris/bitstream/handle/10665/341115/OEW18-2602052021.pdf,2/8/2023
OEW16-1218042021.pdf,16,2021,16,https://apps.who.int/iris/bitstream/handle/10665/340903/OEW16-1218042021.pdf,2/8/2023
OEW15-0511042021.pdf,15,2021,15,https://apps.who.int/iris/bitstream/handle/10665/340773/OEW15-0511042021.pdf,2/8/2023
OEW14-2904042021.pdf,14,2021,14,https://apps.who.int/iris/bitstream/handle/10665/340691/OEW14-2904042021.pdf,2/8/2023
OEW13-2228032021.pdf,13,2021,13,https://apps.who.int/iris/bitstream/handle/10665/340520/OEW13-2228032021.pdf,2/8/2023
OEW12-1521032021.pdf,12,2021,12,https://apps.who.int/iris/bitstream/handle/10665/340351/OEW12-1521032021.pdf,2/8/2023
OEW11-0814032021.pdf,11,2021,11,https://apps.who.int/iris/bitstream/handle/10665/340188/OEW11-0814032021.pdf,2/8/2023
